project_path,project_id
gitlab-com/gl-security/engineering-and-research/automation-team/escalator,12715184
gitlab-com/gl-security/security-operations/trust-and-safety/downloaded-content-tracker,13608790
gitlab-com/gl-security/security-assurance/field-security-team/third-party-security,20917687
gitlab-org/secure/vulnerability-research/advisories/pkg-meta,17657269
gitlab-com/gl-security/security-assurance/grc-application,18920522
gitlab-com/gl-security/engineering-and-research/automation-team/secops-escalator,17588121
gitlab-com/gl-security/security-operations/trust-and-safety/dmca/Abuse-DMCA-Google,12823951
gitlab-com/gl-security/security-operations/trust-and-safety/pubsub-functions,22541347
gitlab-org/secure/vulnerability-research/vet/demos/rails-false-positives,22734535
gitlab-com/gl-security/engineering-and-research/automation-team/example-service-python,19574955
gitlab-com/gl-security/security-operations/trust-and-safety/requested-content-tracker,14056270
gitlab-com/gl-security/security-operations/trust-and-safety/ci-abuse-generation,12695049
gitlab-org/secure/vulnerability-research/advisories/landing-page-preproc-gemnasium-db,18716754
gitlab-com/gl-security/security-operations/gl-redteam/gcp_k8s_enum,19311311
gitlab-org/secure/vulnerability-research/misc/homework-cves,17031626
gitlab-com/gl-security/engineering-and-research/automation-team/scaffold-google-cloud-function,21797473
gitlab-org/security-products/analyzers/dast,18449783
gitlab-com/gl-security/security-operations/gl-redteam/red-team-operations/rt-011-phishing-exercise-laptop-upgrade,18699991
gitlab-org/gitlab-ci-yml,1209837
gitlab-com/gl-security/public-gcf,12169106
gitlab-com/security-tools/tls-scanner,9287676
gitlab-com/gl-security/appsec/h1-additional-data,13278584
gitlab-com/gl-security/security-operations/gl-redteam/secrets-hunting-misc,20017992
gitlab-com/gl-security/engineering-and-research/automation-team/gitlab-export,19430337
gitlab-com/gl-security/engineering-and-research/automation-team/gke-test,19925894
gitlab-org/secure/vulnerability-research/service/requests,19926831
gitlab-com/gl-security/secops/gsuite-ingestor,11616932
gitlab-org/secure/vulnerability-research/pocs/cyota,16816732
gitlab-com/gl-security/security-operations/trust-and-safety/housekeeping/labels,21080580
gitlab-org/security-products/analyzers/kubesec,14853550
gitlab-org/security-products/cwe-info-go,15232184
gitlab-org/threat-management/defend/demos/waf-enablement-demo,14378266
gitlab-org/secure/vulnerability-research/pocs/taggr4go,22637103
gitlab-com/gl-security/zero-trust/okta,11774967
gitlab-com/gl-security/security-assurance/field-security-team/security-questionnaire-first-pass,17400651
gitlab-org/gitlab-sketch-plugin,18863350
gitlab-com/gl-security/engineering-and-research/automation-team/automation,19453175
gitlab-com/gdpr-request,6532260
